week_start,year,week_number,region_code,region_name,patch_code,available_engineers,capacity_jobs,demand_jobs,gap_jobs,utilisation_pct,rag_status,is_forecast
2025-01-06,2025,2,SE,South East,SE-P5,5,72,90,-18,125.0,Red,0
2025-01-06,2025,2,SE,South East,SE-P6,5,68,69,-1,101.5,Red,0
2025-01-06,2025,2,SE,South East,SE-P7,5,66,94,-28,142.4,Red,0
2025-01-06,2025,2,SE,South East,SE-P8,5,87,86,1,98.9,Red,0
2025-01-06,2025,2,SW,South West,SW-P1,6,71,74,-3,104.2,Red,0
2025-01-06,2025,2,SW,South West,SW-P2,5,59,76,-17,128.8,Red,0
2025-01-06,2025,2,SW,South West,SW-P3,5,72,80,-8,111.1,Red,0
2025-01-06,2025,2,SW,South West,SW-P4,5,72,80,-8,111.1,Red,0
2025-01-06,2025,2,WAL,Wales,WAL-P1,6,76,84,-8,110.5,Red,0
2025-01-06,2025,2,WAL,Wales,WAL-P2,6,82,77,5,93.9,Red,0
2025-01-06,2025,2,WAL,Wales,WAL-P3,6,87,91,-4,104.6,Red,0
2025-01-06,2025,2,YRK,Yorkshire,YRK-P1,6,74,89,-15,120.3,Red,0
2025-01-06,2025,2,YRK,Yorkshire,YRK-P2,6,78,79,-1,101.3,Red,0
2025-01-06,2025,2,YRK,Yorkshire,YRK-P3,6,81,79,2,97.5,Red,0
2025-01-06,2025,2,YRK,Yorkshire,YRK-P4,6,75,81,-6,108.0,Red,0
2025-01-06,2025,2,YRK,Yorkshire,YRK-P5,6,82,102,-20,124.4,Red,0
2025-01-13,2025,3,MID,Midlands,MID-P1,5,60,76,-16,126.7,Red,0
2025-01-13,2025,3,MID,Midlands,MID-P2,6,76,85,-9,111.8,Red,0
2025-01-13,2025,3,MID,Midlands,MID-P3,6,85,80,5,94.1,Red,0
2025-01-13,2025,3,MID,Midlands,MID-P4,7,98,84,14,85.7,Amber,0
2025-01-13,2025,3,MID,Midlands,MID-P5,6,68,70,-2,102.9,Red,0
2025-01-13,2025,3,MID,Midlands,MID-P6,5,69,67,2,97.1,Red,0
2025-01-13,2025,3,MID,Midlands,MID-P7,6,82,69,13,84.1,Amber,0
2025-01-13,2025,3,NE,North East,NE-P1,5,70,63,7,90.0,Red,0
2025-01-13,2025,3,NE,North East,NE-P2,5,71,59,12,83.1,Amber,0
2025-01-13,2025,3,NE,North East,NE-P3,6,76,82,-6,107.9,Red,0
2025-01-13,2025,3,NE,North East,NE-P4,4,50,71,-21,142.0,Red,0
2025-01-13,2025,3,NE,North East,NE-P5,5,62,61,1,98.4,Red,0
2025-01-13,2025,3,NW,North West,NW-P1,7,87,75,12,86.2,Amber,0
2025-01-13,2025,3,NW,North West,NW-P2,6,79,79,0,100.0,Red,0
2025-01-13,2025,3,NW,North West,NW-P3,6,79,69,10,87.3,Amber,0
2025-01-13,2025,3,NW,North West,NW-P4,5,73,82,-9,112.3,Red,0
2025-01-13,2025,3,NW,North West,NW-P5,5,55,90,-35,163.6,Red,0
2025-01-13,2025,3,NW,North West,NW-P6,5,75,74,1,98.7,Red,0
2025-01-13,2025,3,SCO,Scotland,SCO-P1,7,84,81,3,96.4,Red,0
2025-01-13,2025,3,SCO,Scotland,SCO-P2,6,92,75,17,81.5,Amber,0
2025-01-13,2025,3,SCO,Scotland,SCO-P3,6,91,79,12,86.8,Amber,0
2025-01-13,2025,3,SCO,Scotland,SCO-P4,5,68,98,-30,144.1,Red,0
2025-01-13,2025,3,SE,South East,SE-P1,7,92,61,31,66.3,Green,0
2025-01-13,2025,3,SE,South East,SE-P2,7,74,63,11,85.1,Amber,0
2025-01-13,2025,3,SE,South East,SE-P3,6,74,91,-17,123.0,Red,0
2025-01-13,2025,3,SE,South East,SE-P4,6,68,79,-11,116.2,Red,0
2025-01-13,2025,3,SE,South East,SE-P5,6,87,90,-3,103.4,Red,0
2025-01-13,2025,3,SE,South East,SE-P6,5,72,80,-8,111.1,Red,0
2025-01-13,2025,3,SE,South East,SE-P7,5,74,75,-1,101.4,Red,0
2025-01-13,2025,3,SE,South East,SE-P8,5,91,68,23,74.7,Green,0
2025-01-13,2025,3,SW,South West,SW-P1,5,60,67,-7,111.7,Red,0
2025-01-13,2025,3,SW,South West,SW-P2,6,73,74,-1,101.4,Red,0
2025-01-13,2025,3,SW,South West,SW-P3,5,70,78,-8,111.4,Red,0
2025-01-13,2025,3,SW,South West,SW-P4,5,60,75,-15,125.0,Red,0
2025-01-13,2025,3,WAL,Wales,WAL-P1,6,77,84,-7,109.1,Red,0
2025-01-13,2025,3,WAL,Wales,WAL-P2,6,76,71,5,93.4,Red,0
2025-01-13,2025,3,WAL,Wales,WAL-P3,6,78,79,-1,101.3,Red,0
2025-01-13,2025,3,YRK,Yorkshire,YRK-P1,6,86,81,5,94.2,Red,0
2025-01-13,2025,3,YRK,Yorkshire,YRK-P2,7,98,74,24,75.5,Amber,0
2025-01-13,2025,3,YRK,Yorkshire,YRK-P3,6,82,72,10,87.8,Amber,0
2025-01-13,2025,3,YRK,Yorkshire,YRK-P4,6,74,90,-16,121.6,Red,0
2025-01-13,2025,3,YRK,Yorkshire,YRK-P5,5,76,79,-3,103.9,Red,0
2025-01-20,2025,4,MID,Midlands,MID-P1,6,74,69,5,93.2,Red,0
2025-01-20,2025,4,MID,Midlands,MID-P2,6,77,88,-11,114.3,Red,0
2025-01-20,2025,4,MID,Midlands,MID-P3,5,69,87,-18,126.1,Red,0
2025-01-20,2025,4,MID,Midlands,MID-P4,6,87,86,1,98.9,Red,0
2025-01-20,2025,4,MID,Midlands,MID-P5,5,59,77,-18,130.5,Red,0
2025-01-20,2025,4,MID,Midlands,MID-P6,5,66,78,-12,118.2,Red,0
2025-01-20,2025,4,MID,Midlands,MID-P7,5,70,87,-17,124.3,Red,0
2025-01-20,2025,4,NE,North East,NE-P1,4,54,71,-17,131.5,Red,0
2025-01-20,2025,4,NE,North East,NE-P2,6,78,72,6,92.3,Red,0
2025-01-20,2025,4,NE,North East,NE-P3,5,66,63,3,95.5,Red,0
2025-01-20,2025,4,NE,North East,NE-P4,4,48,86,-38,179.2,Red,0
2025-01-20,2025,4,NE,North East,NE-P5,5,67,58,9,86.6,Amber,0
2025-01-20,2025,4,NW,North West,NW-P1,7,91,73,18,80.2,Amber,0
2025-01-20,2025,4,NW,North West,NW-P2,5,68,92,-24,135.3,Red,0
2025-01-20,2025,4,NW,North West,NW-P3,5,75,69,6,92.0,Red,0
2025-01-20,2025,4,NW,North West,NW-P4,5,72,75,-3,104.2,Red,0
2025-01-20,2025,4,NW,North West,NW-P5,6,71,83,-12,116.9,Red,0
2025-01-20,2025,4,NW,North West,NW-P6,5,64,82,-18,128.1,Red,0
2025-01-20,2025,4,SCO,Scotland,SCO-P1,5,67,79,-12,117.9,Red,0
2025-01-20,2025,4,SCO,Scotland,SCO-P2,5,77,79,-2,102.6,Red,0
2025-01-20,2025,4,SCO,Scotland,SCO-P3,6,87,81,6,93.1,Red,0
2025-01-20,2025,4,SCO,Scotland,SCO-P4,6,80,77,3,96.2,Red,0
2025-01-20,2025,4,SE,South East,SE-P1,6,79,72,7,91.1,Red,0
2025-01-20,2025,4,SE,South East,SE-P2,6,66,78,-12,118.2,Red,0
2025-01-20,2025,4,SE,South East,SE-P3,6,66,78,-12,118.2,Red,0
2025-01-20,2025,4,SE,South East,SE-P4,6,66,81,-15,122.7,Red,0
2025-01-20,2025,4,SE,South East,SE-P5,4,65,81,-16,124.6,Red,0
2025-01-20,2025,4,SE,South East,SE-P6,5,70,92,-22,131.4,Red,0
2025-01-20,2025,4,SE,South East,SE-P7,5,75,87,-12,116.0,Red,0
2025-01-20,2025,4,SE,South East,SE-P8,6,101,89,12,88.1,Amber,0
2025-01-20,2025,4,SW,South West,SW-P1,6,74,65,9,87.8,Amber,0
2025-01-20,2025,4,SW,South West,SW-P2,5,56,75,-19,133.9,Red,0
2025-01-20,2025,4,SW,South West,SW-P3,5,74,75,-1,101.4,Red,0
2025-01-20,2025,4,SW,South West,SW-P4,5,67,72,-5,107.5,Red,0
2025-01-20,2025,4,WAL,Wales,WAL-P1,6,80,91,-11,113.8,Red,0
2025-01-20,2025,4,WAL,Wales,WAL-P2,6,71,80,-9,112.7,Red,0
2025-01-20,2025,4,WAL,Wales,WAL-P3,5,74,76,-2,102.7,Red,0
2025-01-20,2025,4,YRK,Yorkshire,YRK-P1,5,69,83,-14,120.3,Red,0
2025-01-20,2025,4,YRK,Yorkshire,YRK-P2,7,92,93,-1,101.1,Red,0
2025-01-20,2025,4,YRK,Yorkshire,YRK-P3,7,85,94,-9,110.6,Red,0
2025-01-20,2025,4,YRK,Yorkshire,YRK-P4,7,83,89,-6,107.2,Red,0
2025-01-20,2025,4,YRK,Yorkshire,YRK-P5,5,64,70,-6,109.4,Red,0
2025-01-27,2025,5,MID,Midlands,MID-P1,6,63,76,-13,120.6,Red,0
2025-01-27,2025,5,MID,Midlands,MID-P2,6,72,76,-4,105.6,Red,0
2025-01-27,2025,5,MID,Midlands,MID-P3,5,71,79,-8,111.3,Red,0
2025-01-27,2025,5,MID,Midlands,MID-P4,6,81,71,10,87.7,Amber,0
2025-01-27,2025,5,MID,Midlands,MID-P5,5,64,95,-31,148.4,Red,0
2025-01-27,2025,5,MID,Midlands,MID-P6,5,72,82,-10,113.9,Red,0
2025-01-27,2025,5,MID,Midlands,MID-P7,5,70,64,6,91.4,Red,0
2025-01-27,2025,5,NE,North East,NE-P1,5,63,82,-19,130.2,Red,0
2025-01-27,2025,5,NE,North East,NE-P2,6,81,75,6,92.6,Red,0
2025-01-27,2025,5,NE,North East,NE-P3,5,68,62,6,91.2,Red,0
2025-01-27,2025,5,NE,North East,NE-P4,5,52,60,-8,115.4,Red,0
2025-01-27,2025,5,NE,North East,NE-P5,5,62,61,1,98.4,Red,0
2025-01-27,2025,5,NW,North West,NW-P1,6,84,73,11,86.9,Amber,0
2025-01-27,2025,5,NW,North West,NW-P2,5,66,78,-12,118.2,Red,0
2025-01-27,2025,5,NW,North West,NW-P3,5,77,67,10,87.0,Amber,0
2025-01-27,2025,5,NW,North West,NW-P4,5,79,64,15,81.0,Amber,0
2025-01-27,2025,5,NW,North West,NW-P5,6,74,83,-9,112.2,Red,0
2025-01-27,2025,5,NW,North West,NW-P6,5,72,79,-7,109.7,Red,0
2025-01-27,2025,5,SCO,Scotland,SCO-P1,7,87,74,13,85.1,Amber,0
2025-01-27,2025,5,SCO,Scotland,SCO-P2,6,85,77,8,90.6,Red,0
2025-01-27,2025,5,SCO,Scotland,SCO-P3,5,72,73,-1,101.4,Red,0
2025-01-27,2025,5,SCO,Scotland,SCO-P4,5,67,64,3,95.5,Red,0
2025-01-27,2025,5,SE,South East,SE-P1,6,83,83,0,100.0,Red,0
2025-01-27,2025,5,SE,South East,SE-P2,6,63,66,-3,104.8,Red,0
2025-01-27,2025,5,SE,South East,SE-P3,6,66,70,-4,106.1,Red,0
2025-01-27,2025,5,SE,South East,SE-P4,7,81,83,-2,102.5,Red,0
2025-01-27,2025,5,SE,South East,SE-P5,6,81,64,17,79.0,Amber,0
2025-01-27,2025,5,SE,South East,SE-P6,5,73,71,2,97.3,Red,0
2025-01-27,2025,5,SE,South East,SE-P7,5,71,88,-17,123.9,Red,0
2025-01-27,2025,5,SE,South East,SE-P8,5,81,81,0,100.0,Red,0
2025-01-27,2025,5,SW,South West,SW-P1,6,70,58,12,82.9,Amber,0
2025-01-27,2025,5,SW,South West,SW-P2,5,70,83,-13,118.6,Red,0
2025-01-27,2025,5,SW,South West,SW-P3,5,71,62,9,87.3,Amber,0
2025-01-27,2025,5,SW,South West,SW-P4,4,55,85,-30,154.5,Red,0
2025-01-27,2025,5,WAL,Wales,WAL-P1,6,85,74,11,87.1,Amber,0
2025-01-27,2025,5,WAL,Wales,WAL-P2,7,82,79,3,96.3,Red,0
2025-01-27,2025,5,WAL,Wales,WAL-P3,5,76,77,-1,101.3,Red,0
2025-01-27,2025,5,YRK,Yorkshire,YRK-P1,6,74,67,7,90.5,Red,0
2025-01-27,2025,5,YRK,Yorkshire,YRK-P2,6,86,84,2,97.7,Red,0
2025-01-27,2025,5,YRK,Yorkshire,YRK-P3,5,68,84,-16,123.5,Red,0
2025-01-27,2025,5,YRK,Yorkshire,YRK-P4,6,70,77,-7,110.0,Red,0
2025-01-27,2025,5,YRK,Yorkshire,YRK-P5,5,73,72,1,98.6,Red,0
2025-02-03,2025,6,MID,Midlands,MID-P1,6,71,72,-1,101.4,Red,0
2025-02-03,2025,6,MID,Midlands,MID-P2,6,81,76,5,93.8,Red,0
2025-02-03,2025,6,MID,Midlands,MID-P3,6,78,57,21,73.1,Green,0
2025-02-03,2025,6,MID,Midlands,MID-P4,6,89,88,1,98.9,Red,0
2025-02-03,2025,6,MID,Midlands,MID-P5,5,64,55,9,85.9,Amber,0
2025-02-03,2025,6,MID,Midlands,MID-P6,5,70,63,7,90.0,Red,0
2025-02-03,2025,6,MID,Midlands,MID-P7,6,84,68,16,81.0,Amber,0
2025-02-03,2025,6,NE,North East,NE-P1,6,81,69,12,85.2,Amber,0
2025-02-03,2025,6,NE,North East,NE-P2,5,72,75,-3,104.2,Red,0
2025-02-03,2025,6,NE,North East,NE-P3,5,68,56,12,82.4,Amber,0
2025-02-03,2025,6,NE,North East,NE-P4,4,48,58,-10,120.8,Red,0
2025-02-03,2025,6,NE,North East,NE-P5,5,62,55,7,88.7,Amber,0
2025-02-03,2025,6,NW,North West,NW-P1,6,74,57,17,77.0,Amber,0
2025-02-03,2025,6,NW,North West,NW-P2,5,68,75,-7,110.3,Red,0
2025-02-03,2025,6,NW,North West,NW-P3,5,74,80,-6,108.1,Red,0
2025-02-03,2025,6,NW,North West,NW-P4,5,72,87,-15,120.8,Red,0
2025-02-03,2025,6,NW,North West,NW-P5,5,65,66,-1,101.5,Red,0
2025-02-03,2025,6,NW,North West,NW-P6,5,67,71,-4,106.0,Red,0
2025-02-03,2025,6,SCO,Scotland,SCO-P1,7,93,78,15,83.9,Amber,0
2025-02-03,2025,6,SCO,Scotland,SCO-P2,7,95,64,31,67.4,Green,0
2025-02-03,2025,6,SCO,Scotland,SCO-P3,5,75,68,7,90.7,Red,0
2025-02-03,2025,6,SCO,Scotland,SCO-P4,5,69,74,-5,107.2,Red,0
2025-02-03,2025,6,SE,South East,SE-P1,6,85,81,4,95.3,Red,0
2025-02-03,2025,6,SE,South East,SE-P2,6,63,77,-14,122.2,Red,0
2025-02-03,2025,6,SE,South East,SE-P3,6,70,76,-6,108.6,Red,0
2025-02-03,2025,6,SE,South East,SE-P4,7,72,56,16,77.8,Amber,0
2025-02-03,2025,6,SE,South East,SE-P5,6,83,84,-1,101.2,Red,0
2025-02-03,2025,6,SE,South East,SE-P6,5,68,88,-20,129.4,Red,0
2025-02-03,2025,6,SE,South East,SE-P7,5,72,75,-3,104.2,Red,0
2025-02-03,2025,6,SE,South East,SE-P8,4,74,67,7,90.5,Red,0
2025-02-03,2025,6,SW,South West,SW-P1,5,60,77,-17,128.3,Red,0
2025-02-03,2025,6,SW,South West,SW-P2,5,58,68,-10,117.2,Red,0
2025-02-03,2025,6,SW,South West,SW-P3,5,72,62,10,86.1,Amber,0
2025-02-03,2025,6,SW,South West,SW-P4,5,63,69,-6,109.5,Red,0
2025-02-03,2025,6,WAL,Wales,WAL-P1,6,71,69,2,97.2,Red,0
2025-02-03,2025,6,WAL,Wales,WAL-P2,6,78,76,2,97.4,Red,0
2025-02-03,2025,6,WAL,Wales,WAL-P3,6,77,79,-2,102.6,Red,0
2025-02-03,2025,6,YRK,Yorkshire,YRK-P1,7,87,81,6,93.1,Red,0
2025-02-03,2025,6,YRK,Yorkshire,YRK-P2,6,81,72,9,88.9,Amber,0
2025-02-03,2025,6,YRK,Yorkshire,YRK-P3,6,81,78,3,96.3,Red,0
2025-02-03,2025,6,YRK,Yorkshire,YRK-P4,6,77,87,-10,113.0,Red,0
2025-02-03,2025,6,YRK,Yorkshire,YRK-P5,5,69,87,-18,126.1,Red,0
2025-02-10,2025,7,MID,Midlands,MID-P1,6,70,94,-24,134.3,Red,0
2025-02-10,2025,7,MID,Midlands,MID-P2,7,84,58,26,69.0,Green,0
2025-02-10,2025,7,MID,Midlands,MID-P3,5,70,77,-7,110.0,Red,0
2025-02-10,2025,7,MID,Midlands,MID-P4,6,84,73,11,86.9,Amber,0
2025-02-10,2025,7,MID,Midlands,MID-P5,6,75,90,-15,120.0,Red,0
2025-02-10,2025,7,MID,Midlands,MID-P6,5,69,71,-2,102.9,Red,0
2025-02-10,2025,7,MID,Midlands,MID-P7,6,87,75,12,86.2,Amber,0
2025-02-10,2025,7,NE,North East,NE-P1,5,70,62,8,88.6,Amber,0
2025-02-10,2025,7,NE,North East,NE-P2,5,68,55,13,80.9,Amber,0
2025-02-10,2025,7,NE,North East,NE-P3,4,56,66,-10,117.9,Red,0
2025-02-10,2025,7,NE,North East,NE-P4,5,52,58,-6,111.5,Red,0
2025-02-10,2025,7,NE,North East,NE-P5,5,66,72,-6,109.1,Red,0
2025-02-10,2025,7,NW,North West,NW-P1,6,76,59,17,77.6,Amber,0
2025-02-10,2025,7,NW,North West,NW-P2,6,81,64,17,79.0,Amber,0
2025-02-10,2025,7,NW,North West,NW-P3,5,78,85,-7,109.0,Red,0
2025-02-10,2025,7,NW,North West,NW-P4,6,85,84,1,98.8,Red,0
2025-02-10,2025,7,NW,North West,NW-P5,5,62,61,1,98.4,Red,0
2025-02-10,2025,7,NW,North West,NW-P6,6,78,68,10,87.2,Amber,0
2025-02-10,2025,7,SCO,Scotland,SCO-P1,7,88,73,15,83.0,Amber,0
2025-02-10,2025,7,SCO,Scotland,SCO-P2,6,78,57,21,73.1,Green,0
2025-02-10,2025,7,SCO,Scotland,SCO-P3,4,70,69,1,98.6,Red,0
2025-02-10,2025,7,SCO,Scotland,SCO-P4,5,67,70,-3,104.5,Red,0
2025-02-10,2025,7,SE,South East,SE-P1,5,74,85,-11,114.9,Red,0
2025-02-10,2025,7,SE,South East,SE-P2,5,58,76,-18,131.0,Red,0
2025-02-10,2025,7,SE,South East,SE-P3,5,63,77,-14,122.2,Red,0
2025-02-10,2025,7,SE,South East,SE-P4,6,70,78,-8,111.4,Red,0
2025-02-10,2025,7,SE,South East,SE-P5,5,76,79,-3,103.9,Red,0
2025-02-10,2025,7,SE,South East,SE-P6,5,62,77,-15,124.2,Red,0
2025-02-10,2025,7,SE,South East,SE-P7,5,74,72,2,97.3,Red,0
2025-02-10,2025,7,SE,South East,SE-P8,5,77,69,8,89.6,Amber,0
2025-02-10,2025,7,SW,South West,SW-P1,5,57,66,-9,115.8,Red,0
2025-02-10,2025,7,SW,South West,SW-P2,4,54,72,-18,133.3,Red,0
2025-02-10,2025,7,SW,South West,SW-P3,5,65,71,-6,109.2,Red,0
2025-02-10,2025,7,SW,South West,SW-P4,5,68,66,2,97.1,Red,0
2025-02-10,2025,7,WAL,Wales,WAL-P1,6,80,88,-8,110.0,Red,0
2025-02-10,2025,7,WAL,Wales,WAL-P2,6,73,66,7,90.4,Red,0
2025-02-10,2025,7,WAL,Wales,WAL-P3,5,70,70,0,100.0,Red,0
2025-02-10,2025,7,YRK,Yorkshire,YRK-P1,6,78,82,-4,105.1,Red,0
2025-02-10,2025,7,YRK,Yorkshire,YRK-P2,5,68,77,-9,113.2,Red,0
2025-02-10,2025,7,YRK,Yorkshire,YRK-P3,6,76,81,-5,106.6,Red,0
2025-02-10,2025,7,YRK,Yorkshire,YRK-P4,7,89,73,16,82.0,Amber,0
2025-02-10,2025,7,YRK,Yorkshire,YRK-P5,4,61,64,-3,104.9,Red,0
2025-02-17,2025,8,MID,Midlands,MID-P1,5,62,76,-14,122.6,Red,0
2025-02-17,2025,8,MID,Midlands,MID-P2,6,75,64,11,85.3,Amber,0
2025-02-17,2025,8,MID,Midlands,MID-P3,6,76,77,-1,101.3,Red,0
2025-02-17,2025,8,MID,Midlands,MID-P4,6,86,68,18,79.1,Amber,0
2025-02-17,2025,8,MID,Midlands,MID-P5,6,74,62,12,83.8,Amber,0
2025-02-17,2025,8,MID,Midlands,MID-P6,5,66,80,-14,121.2,Red,0
2025-02-17,2025,8,MID,Midlands,MID-P7,6,83,81,2,97.6,Red,0
2025-02-17,2025,8,NE,North East,NE-P1,5,67,64,3,95.5,Red,0
2025-02-17,2025,8,NE,North East,NE-P2,5,73,63,10,86.3,Amber,0
2025-02-17,2025,8,NE,North East,NE-P3,4,45,78,-33,173.3,Red,0
2025-02-17,2025,8,NE,North East,NE-P4,4,45,55,-10,122.2,Red,0
2025-02-17,2025,8,NE,North East,NE-P5,4,52,64,-12,123.1,Red,0
2025-02-17,2025,8,NW,North West,NW-P1,6,78,65,13,83.3,Amber,0
2025-02-17,2025,8,NW,North West,NW-P2,6,77,72,5,93.5,Red,0
2025-02-17,2025,8,NW,North West,NW-P3,5,75,66,9,88.0,Amber,0
2025-02-17,2025,8,NW,North West,NW-P4,6,91,76,15,83.5,Amber,0
2025-02-17,2025,8,NW,North West,NW-P5,5,67,75,-8,111.9,Red,0
2025-02-17,2025,8,NW,North West,NW-P6,5,65,65,0,100.0,Red,0
2025-02-17,2025,8,SCO,Scotland,SCO-P1,7,86,70,16,81.4,Amber,0
2025-02-17,2025,8,SCO,Scotland,SCO-P2,6,85,66,19,77.6,Amber,0
2025-02-17,2025,8,SCO,Scotland,SCO-P3,4,69,83,-14,120.3,Red,0
2025-02-17,2025,8,SCO,Scotland,SCO-P4,5,64,68,-4,106.2,Red,0
2025-02-17,2025,8,SE,South East,SE-P1,7,91,68,23,74.7,Green,0
2025-02-17,2025,8,SE,South East,SE-P2,6,69,68,1,98.6,Red,0
2025-02-17,2025,8,SE,South East,SE-P3,7,82,76,6,92.7,Red,0
